,gender,description,text,hashtags
8572,0,chairman dynamic youth nigeria oyo state council civil special corp convener ana oyo state team leader nigeria right advocate,god can fix all nigerian headache be nigerian prepared enough for god fix nigeria and nigerian catastrophies,
8283,0,creator kindle nation daily and bookgorilla,romance love passion suspense and little bit magic your soul be make for mine hunter,
1176,0,happiness can find even the dark time one only remember turn the light,hope will the case,
12647,0,debate weightlift fry okra with oprah,for and the guy who play thor,
2600,1,,spooky entanglement two more particle like half moiety one photon join the more wave like moiety the single photon,
3140,0,passionate about help people get the next level toward realize the life they be mean live,never stop ask the who and the why your leadership,intentional
2182,0,they still not sandshoes not david tennant,exactly they take time out their day copy you say lot nah you the cute one,
12826,1,kev,hate have for get damn hot and sweaty,
7159,1,little iyanla vanzant little gucci mane little oprah with dash bob marley and warren buffet,while black people live here and make effort into field that will never subside,
1590,0,all view be that dad,like how she try something new use guitar etc and that probs the best part the song fair play,
11913,1,rip tooka rip rip vindogg rip trigga follow,khamora just through all her hair and down her back,
11886,1,int glamour model int playboy playmate bwd mag cover model year,come across this and think you dave ready for another cup,coffee Model Playboy HCOTW Glamour
7829,1,,college loan holder blow your rep email and tell them low the interest rate they wouldn pay you shouldn have either,
1398,0,tech blogger user experience designer photographer,talktalk cyber attack pile the pressure financial target london reuters burden with poor,
1203,1,,our way the square scare hunger hope get lucky,
6609,1,weapon meister the dwma just happen angel with dual sword lil munchkin,the sky bounce light off every reachable inch physical space she sit and look her lap the warmth,Multiverse OpenRP SERP SEoutcast
5034,0,self proclaim ppc seo web analytics advocate tech guru conversion specialist gadget aholic scuba music photo aficionado yr tech digital marketing pro,the digital entrepreneur the dream building business around digital product and service,webmaster
9512,0,skol vikes,gotcha wonder the same and pick him for last pick draft day be cut,
12613,0,tryna live without happiness,play pnd and eat you out that what about,
8227,0,talk little sport talk little current event fan the flagship university the state mississippi hotty toddy,difference between flag that flag represent all wort and all confederate flag have be only intimidate,
6933,1,you might right but don care ajs,minute into the first episode the walk dead and can literally feel myself about panic,
2533,1,co even old girl best friend still her mum,note the low representation non western country anti drug policy make body esp asia amp africa,falive
11987,0,layout credit irl,when your family call you and say youve go over your data plan again,
5287,1,htx,this have be the long monday ever,
12756,0,penis joke be old mean cum,lmao say the girl that go the concert and freak out when she meet louis,
3220,0,family football box beer forest til die hate direby self confessed arsehole just add sheep banter view be own,which bite the best thing since slice bread do you miss wtf will go,
628,0,from mechanical mechatronic engineer binge watcher the meantime tech news addict pgp,clarification the cancer news today,
6146,0,artist ceo radio personality,random thought its funny how when people have pproblem with what they run and tell sister lol,gohead ShadowE TeamColdWar RogueGang TeamScorpio Team302 BMB
6351,1,lgbt reporter for trainer blind dog one time win twerking contest mohara com,south bronx rebranding begin from hooker and crack the piano district via,
12130,0,alternative artist the redtriangle from dark light mixtape out now,the cold november indoor music festival will feature the best and come artist band the,
6288,1,actor anchor educationist activist foodie awe atom energy creation word nature earth dog music peace connect lahorikudi proudpaindu learning barca,like meet and learn more about possible not well right now may can meet later,
3981,0,,football much more than result especially the game saturday mile round trip see henderson his arse,
11890,1,cause know that you sucker for anything acoustic,and scratch car,
10080,0,love life and will live you never let your dream die and always dream big,before game and after sign shirt from all the player and match ball united shirt well,
4583,0,,just want say you have the most beautiful smile brittany certainly brighten day,
12633,1,sit pretty reach goal,go home and nap then wake annoy boyfriend and work homework monday,MTSU18
7027,0,just tryna great mom scorpio instagram blackrob snapchat blackrob,well come saturday and birthday lil skeptical you go have some good move,
1667,1,never the book always underestimated hard believe the life that you create self make little big town,just take this out the oven can wait for dessert,applecrisp
